Dataset,Kind,n,Worst_subscale,Tuned_depth,Tuned_multiplier,Baseline_F1,KAB_WCE_F1,Delta_F1,Wilcoxon_p,Knowledge_SHAP,Attitude_SHAP,Dominant_subscale
KNUST,field,4121,Knowledge,5,1.5,0.7956,0.8043,0.0087,0.0001,0.492,0.4123,Knowledge
Alzubaidi,public,1231,Attitude,2,1.1,0.6858,0.701,0.0152,0.0001,0.0644,0.1925,Attitude
