Feature,Mean_abs_SHAP_LowPred
K,0.58758837
A,0.4957539
Q13,0.17785223
Q6,0.16165918
Q8,0.15080626
InternetYears,0.14994371
Q10,0.14089933
DigitalTools,0.13811168
Q17,0.13265452
Q7,0.13246863
Q14,0.117821425
Q9,0.11242076
YearOfStudy,0.106227554
ITCourse,0.097556606
Q15,0.078255035
Q16,0.07118849
Gender,0.07107248
