Dataset,Baseline_F1,OpS_only_F1,KAB_WCE_F1,Delta_vs_Baseline,Wilcoxon_p,Win_rate_pct,Baseline_time_s,WCE_time_s
KNUST,0.7956,0.8043,0.8043,0.0087,0.0001,78.0,0.151,0.155
Alzubaidi,0.6858,0.6873,0.701,0.0152,0.0001,76.0,0.058,0.063
