fold,KAB-XGBoost-WCE,Baseline XGBoost,Stock scale_pos_weight,Decision Tree,Naive Bayes,Logistic Regression,SVM,Random Forest
1,0.7696594427244582,0.7601547388781431,0.7912036101569341,0.6615104640582348,0.7059288537549406,0.7620614035087719,0.7638095238095238,0.767741935483871
2,0.6808170869652006,0.687566844919786,0.6658715961041543,0.5842151675485009,0.6658715961041543,0.6724479344486173,0.6622915690082368,0.67987987987988
3,0.5749601275917066,0.6203703703703703,0.5852561983471074,0.6006493506493507,0.6257936507936508,0.6248010610079575,0.5813813813813814,0.6203703703703703
4,0.6644487324505954,0.7168201516793067,0.6971854414798058,0.6484489369118159,0.6142142142142142,0.6910177201439338,0.635309973045822,0.6835048754062838
5,0.7116657473800331,0.6925,0.733477789815818,0.6773484579936193,0.678765151007835,0.6701016374929418,0.7048277809147374,0.7245240761478163
6,0.6742584745762712,0.7299221505090159,0.6984694891671637,0.6353754940711462,0.6500363925097599,0.7077194650010183,0.6926038500506586,0.7105493175553015
7,0.6622915690082368,0.6533816425120773,0.6393923240938166,0.5643027542832357,0.6091101694915254,0.5929078014184397,0.5963972410098439,0.624210740715595
8,0.6825911466948984,0.690053050397878,0.6666666666666666,0.6730462519936204,0.6815798207766346,0.690053050397878,0.6557835820895522,0.6962962962962963
9,0.7533422459893049,0.7767094735426612,0.7711323763955342,0.7226790450928382,0.6808170869652006,0.7845013477088949,0.7411229547151877,0.7359098228663445
10,0.6066098081023454,0.6217914438502674,0.6332737030411449,0.6746031746031746,0.6489213408562895,0.6162628609359442,0.6203703703703703,0.5835590465872156
11,0.6760710553814002,0.6189604445897352,0.6530227110040997,0.6203504657677024,0.6532032520325204,0.6480760345851759,0.6405797101449275,0.6418067226890756
12,0.5749601275917066,0.6533816425120773,0.6257936507936508,0.6495726495726496,0.6091101694915254,0.5782290055805822,0.6128708230094422,0.623001066098081
13,0.6698872785829308,0.6759878419452887,0.687566844919786,0.6180124223602484,0.6585140137493389,0.6759878419452887,0.6892454762717651,0.6835048754062838
14,0.6644487324505954,0.6979090607368071,0.6984694891671637,0.681781045751634,0.6742584745762712,0.6979090607368071,0.6825911466948984,0.7135537959944107
15,0.7092198581560283,0.728626585769443,0.7204545454545455,0.6815798207766346,0.6368760064412238,0.7060430180949129,0.659371833839919,0.7228405599180607
16,0.6910177201439338,0.6910177201439338,0.7455455455455455,0.6781976744186047,0.6533816425120773,0.7487745098039216,0.6703772418058133,0.6510759011969833
17,0.6962962962962963,0.7092198581560283,0.6885660980810234,0.6565255731922399,0.6503140495867769,0.7016172506738545,0.6743159752868491,0.7092198581560283
18,0.7152777777777777,0.6798630136986301,0.7213486140724947,0.666566265060241,0.7057416267942584,0.6967123287671233,0.668096588943472,0.7424518743667681
19,0.6711229946524064,0.6850404312668463,0.6721748400852878,0.5975609756097561,0.6257936507936508,0.6650326797385621,0.6774692395616217,0.6518867924528302
20,0.7194041867954912,0.7411229547151877,0.7220893141945773,0.6145299145299146,0.6546791443850267,0.7347708894878706,0.7152777777777777,0.7210884353741496
21,0.6595915634415801,0.6457142857142857,0.6356837606837606,0.6283716283716283,0.6274817136886102,0.6853632478632479,0.6600877192982456,0.7300680272108844
22,0.6684636118598383,0.7092198581560283,0.6979090607368071,0.6494702228717574,0.6574270557029178,0.7105493175553015,0.7204545454545455,0.6926038500506586
23,0.6644487324505954,0.6038647342995169,0.6557835820895522,0.605257767156026,0.6495726495726495,0.6482843137254902,0.6684636118598383,0.6609292005647818
24,0.678765151007835,0.6863929146537842,0.6652505808164619,0.6390896729406712,0.6203703703703703,0.6427558257345491,0.6501895991332611,0.7060430180949129
25,0.659371833839919,0.6576142304297644,0.6458179870086387,0.6354369984818911,0.7226790450928382,0.7117123150070315,0.6501895991332611,0.7016172506738545
26,0.7359098228663445,0.7932495125395012,0.7314232779726064,0.6556550951847704,0.6306306306306306,0.7258358662613982,0.7040106951871659,0.733477789815818
27,0.6863929146537842,0.6774692395616217,0.6644487324505954,0.6652505808164619,0.6585140137493389,0.6774692395616217,0.6142142142142142,0.6095238095238096
28,0.7063660477453582,0.6644487324505954,0.6746031746031746,0.6147875816993464,0.642063492063492,0.6644487324505954,0.6566985645933014,0.7040106951871659
29,0.7117123150070315,0.7281858970066296,0.7716180371352785,0.713953488372093,0.588903743315508,0.6940092785584616,0.6650326797385621,0.7347708894878706
30,0.6576142304297644,0.6510759011969833,0.6518867924528302,0.5924698795180723,0.7314232779726064,0.6900895856662934,0.6495726495726496,0.6892454762717651
31,0.6688034188034189,0.6808131476470201,0.6688163637548042,0.6672858617131063,0.6691611895620486,0.6853632478632479,0.6630211440312852,0.6356837606837606
