Dataset,n,Knowledge_alpha,Attitude_alpha,Baseline_F1,KAB_WCE_F1,Delta_F1,Wilcoxon_p
Georgiadou,264,0.013,0.796,0.5322,0.518,-0.0142,0.0736
Zineddine,440,0.777,,0.6304,0.6319,0.0015,0.7655
