Dataset,Baseline_F1_mean,Baseline_F1_sd,KAB_WCE_F1_mean,KAB_WCE_F1_sd,Delta_F1,Wilcoxon_p,Cohens_d
KNUST,0.7956,0.0214,0.8043,0.0187,0.0087,0.0001,0.5664
Alzubaidi,0.6858,0.0341,0.701,0.0354,0.0152,0.0001,0.6184
