Dataset,Dominant_pattern,Top_driver_1,Top_driver_2
KNUST,Knowledge gap (technical literacy),K,A
Alzubaidi,Attitude/complacency gap (overtrust in external protection),18) What is your opinion of each of the following statements? Select the appropriate response for each:  [I feel that I am well protected against cyber crime],18) What is your opinion of each of the following statements? Select the appropriate response for each:  [I believe that the laws in effect are effective in managing the cyber crime problem]
