fold,KAB-XGBoost-WCE,Baseline XGBoost,Stock scale_pos_weight,Decision Tree,Naive Bayes,Logistic Regression,SVM,Random Forest
1,0.6761363636363636,0.6885826038368411,0.7172891303849416,0.6609658880237301,0.6841454478842279,0.6922231831887988,0.6713228492136911,0.675833969951617
2,0.6512791991101223,0.6185162080358586,0.6600068736395921,0.6310850984764029,0.6505897171647773,0.6575374531835206,0.6445578231292517,0.6248455602955918
3,0.5861583605696972,0.5877712031558185,0.6185162080358586,0.588054638797213,0.6406217759130615,0.6313932980599647,0.6407933853586028,0.5778379791354769
4,0.6101554404145078,0.5657894736842105,0.5595565328935312,0.5901960784313726,0.6363553113553113,0.601960237829803,0.5999031298290933,0.6005296488198042
5,0.6668052956262562,0.6616558741905643,0.6840296866410116,0.6519888991674376,0.6650027477559992,0.6691190165766436,0.6719298245614035,0.6751420948845841
6,0.7475845410628019,0.7252346795211846,0.7317565089842317,0.6821073008849557,0.7214101856959,0.6783625730994152,0.6717303138992428,0.6937511816978634
7,0.6281740255539382,0.6326549491211841,0.6359552621928859,0.5722433022881452,0.6019595695371835,0.6357169775767854,0.6072613385918106,0.5890449438202248
8,0.6399236356863476,0.6861209306624154,0.6551155115511551,0.6214549372950914,0.6889667330631684,0.6868913857677903,0.6780112044817928,0.6619312187917575
9,0.6528035735276831,0.6369982547993018,0.6586459561287936,0.5887005649717514,0.6676469907139384,0.6581196581196581,0.6506159014557671,0.6528035735276831
10,0.6190476190476191,0.5995115995115996,0.6394147423895707,0.5606758832565284,0.6439344869066346,0.6394302848575713,0.6288156288156288,0.617033330186007
11,0.6335990276057129,0.6222191323692993,0.6411483253588517,0.6564807741278329,0.6650027477559992,0.642333028576787,0.6415925101965146,0.6389822595704948
12,0.6140576424113509,0.6399236356863476,0.6314439482422993,0.5583677685950413,0.5919562670831706,0.6042869498141699,0.601960237829803,0.6053570179732848
13,0.691740412979351,0.7003237742830712,0.6985369874304554,0.668368402897551,0.7032881480124564,0.6906567992599445,0.6825754786450663,0.6679101899827289
14,0.6498997286775983,0.6575374531835206,0.6936045446215869,0.5807574256229306,0.6687644991616326,0.6402753872633391,0.6487394957983192,0.6090868196131354
15,0.5909038572251007,0.5869185512042654,0.5927046793681363,0.5932641893902969,0.5931524103973433,0.6169585894907783,0.601960237829803,0.6009964611659527
16,0.6619312187917575,0.6743866992210208,0.6921944035346097,0.6318261890780974,0.7025252525252526,0.7117645683831607,0.6368801652892562,0.6597617081514686
17,0.6407933853586028,0.6043859649122807,0.6171459974354276,0.6455353868720206,0.6363553113553113,0.6371275783040489,0.6303603831224016,0.6564807741278329
18,0.6415925101965146,0.638466683580506,0.6406217759130615,0.5384098329172268,0.6459249084249085,0.6080977845683728,0.6005296488198042,0.6177743824802648
